instance,sharpsat_tw
track1_private_track1_001.mcc2020_cnf,60.11
track1_private_track1_003.mcc2020_cnf,60.04
track1_private_track1_005.mcc2020_cnf,60.12
track1_private_track1_007.mcc2020_cnf,59.96
track1_private_track1_009.mcc2020_cnf,60.28
track1_private_track1_011.mcc2020_cnf,69.11
track1_private_track1_013.mcc2020_cnf,60.85
track1_private_track1_015.mcc2020_cnf,60.22
track1_private_track1_017.mcc2020_cnf,61.26
track1_private_track1_019.mcc2020_cnf,61.98
track1_private_track1_021.mcc2020_cnf,144.32
track1_private_track1_023.mcc2020_cnf,64.77
track1_private_track1_025.mcc2020_cnf,67.47999999999999
track1_private_track1_027.mcc2020_cnf,73.36999999999999
track1_private_track1_029.mcc2020_cnf,76.89
track1_private_track1_031.mcc2020_cnf,TO
track1_private_track1_033.mcc2020_cnf,79.92
track1_private_track1_035.mcc2020_cnf,67.02
track1_private_track1_037.mcc2020_cnf,301.47
track1_private_track1_039.mcc2020_cnf,75.80999999999999
track1_private_track1_041.mcc2020_cnf,105.49000000000001
track1_private_track1_043.mcc2020_cnf,67.64
track1_private_track1_045.mcc2020_cnf,TO
track1_private_track1_047.mcc2020_cnf,116.02000000000001
track1_private_track1_049.mcc2020_cnf,TO
track1_private_track1_051.mcc2020_cnf,442.83
track1_private_track1_053.mcc2020_cnf,62.34
track1_private_track1_055.mcc2020_cnf,76.28
track1_private_track1_057.mcc2020_cnf,61.04
track1_private_track1_059.mcc2020_cnf,86.13
track1_private_track1_061.mcc2020_cnf,97.12
track1_private_track1_063.mcc2020_cnf,137.95999999999998
track1_private_track1_065.mcc2020_cnf,TO
track1_private_track1_067.mcc2020_cnf,245.25
track1_private_track1_069.mcc2020_cnf,103.66
track1_private_track1_071.mcc2020_cnf,63.67
track1_private_track1_073.mcc2020_cnf,78.81
track1_private_track1_075.mcc2020_cnf,106.99
track1_private_track1_077.mcc2020_cnf,233.98
track1_private_track1_079.mcc2020_cnf,79.42
track1_private_track1_081.mcc2020_cnf,80.17999999999999
track1_private_track1_083.mcc2020_cnf,77.56
track1_private_track1_085.mcc2020_cnf,TO
track1_private_track1_087.mcc2020_cnf,150.48
track1_private_track1_089.mcc2020_cnf,MO
track1_private_track1_091.mcc2020_cnf,70.07000000000001
track1_private_track1_093.mcc2020_cnf,458.34000000000003
track1_private_track1_095.mcc2020_cnf,83.39
track1_private_track1_097.mcc2020_cnf,165.87
track1_private_track1_099.mcc2020_cnf,85.71
track1_private_track1_101.mcc2020_cnf,122.72
track1_private_track1_103.mcc2020_cnf,79.97
track1_private_track1_105.mcc2020_cnf,67.4
track1_private_track1_107.mcc2020_cnf,67.78
track1_private_track1_109.mcc2020_cnf,91.61
track1_private_track1_111.mcc2020_cnf,72.28
track1_private_track1_113.mcc2020_cnf,200.18
track1_private_track1_115.mcc2020_cnf,82.93
track1_private_track1_117.mcc2020_cnf,TO
track1_private_track1_119.mcc2020_cnf,70.53999999999999
track1_private_track1_121.mcc2020_cnf,TO
track1_private_track1_123.mcc2020_cnf,76.17
track1_private_track1_125.mcc2020_cnf,TO
track1_private_track1_127.mcc2020_cnf,64.78
track1_private_track1_129.mcc2020_cnf,TO
track1_private_track1_131.mcc2020_cnf,119.22999999999999
track1_private_track1_133.mcc2020_cnf,101.1
track1_private_track1_135.mcc2020_cnf,318.48
track1_private_track1_137.mcc2020_cnf,1012.0799999999999
track1_private_track1_139.mcc2020_cnf,101.39
track1_private_track1_141.mcc2020_cnf,86.97
track1_private_track1_143.mcc2020_cnf,90.4
track1_private_track1_145.mcc2020_cnf,TO
track1_private_track1_147.mcc2020_cnf,80.54
track1_private_track1_149.mcc2020_cnf,106.17999999999999
track1_private_track1_151.mcc2020_cnf,TO
track1_private_track1_153.mcc2020_cnf,795.5799999999999
track1_private_track1_155.mcc2020_cnf,150.66
track1_private_track1_157.mcc2020_cnf,69.61999999999999
track1_private_track1_159.mcc2020_cnf,129.63
track1_private_track1_161.mcc2020_cnf,TO
track1_private_track1_163.mcc2020_cnf,TO
track1_private_track1_165.mcc2020_cnf,144.95000000000002
track1_private_track1_167.mcc2020_cnf,TO
track1_private_track1_169.mcc2020_cnf,681.37
track1_private_track1_171.mcc2020_cnf,91.07
track1_private_track1_173.mcc2020_cnf,101.86
track1_private_track1_175.mcc2020_cnf,TO
track1_private_track1_177.mcc2020_cnf,141.64
track1_private_track1_179.mcc2020_cnf,121.89
track1_private_track1_181.mcc2020_cnf,TO
track1_private_track1_183.mcc2020_cnf,122.91000000000001
track1_private_track1_185.mcc2020_cnf,TO
track1_private_track1_187.mcc2020_cnf,TO
track1_private_track1_189.mcc2020_cnf,TO
track1_private_track1_191.mcc2020_cnf,TO
track1_private_track1_193.mcc2020_cnf,TO
track1_private_track1_195.mcc2020_cnf,TO
track1_private_track1_197.mcc2020_cnf,TO
track1_private_track1_199.mcc2020_cnf,TO
