instance,treewidth,sharpsat,sharpsat_tw,ganak,ganak_tw,c2d,c2d_tw,minic2d,minic2d_tw,d4,dpmc_htb,dpmc_lg,sharpsat_cen
BayesianNetwork/Ace/blockmap_05_01.net.cnf,34,0.03,899.63,2.3,899.64,5.27,900.04,6.68,900.1899999999999,0.04,TO,900.31,4.33
BayesianNetwork/Ace/blockmap_05_02.net.cnf,38,0.03,899.74,2.27,899.63,7.15,899.9,10.17,900.17,0.06,TO,903.38,5.81
BayesianNetwork/Ace/blockmap_05_03.net.cnf,42,0.05,899.7199999999999,2.45,899.5,11.15,899.89,8.25,900.64,0.09,TO,904.73,7.0
BayesianNetwork/Ace/blockmap_10_01.net.cnf,84,0.56,900.34,2.96,900.5,52.2,901.09,87.57000000000001,928.53,0.12,MO,TO,42.2
BayesianNetwork/Ace/blockmap_10_02.net.cnf,94,0.88,900.4699999999999,4.05,900.52,55.18,901.61,90.25,930.61,1.11,RTE,TO,46.58
BayesianNetwork/Ace/blockmap_10_03.net.cnf,96,4.87,900.91,7.15,901.05,74.62,902.22,117.26,999.99,8.54,MO,RTE,54.81
BayesianNetwork/Ace/blockmap_15_01.net.cnf,119,3.07,903.33,6.18,903.57,138.98,906.51,564.22,1546.5900000000001,0.41,MO,RTE,147.12
BayesianNetwork/Ace/blockmap_15_02.net.cnf,128,4.91,903.5799999999999,8.77,904.16,126.69999999999999,908.3399999999999,661.58,1188.65,3.5,MO,RTE,158.94
BayesianNetwork/Ace/blockmap_15_03.net.cnf,138,31.0,908.0200000000001,40.07,908.11,154.79999999999998,923.3,738.1700000000001,1974.2,16.03,MO,RTE,183.85999999999999
BayesianNetwork/Ace/blockmap_20_01.net.cnf,218,14.24,914.4499999999999,18.42,916.4,266.73,925.24,3291.84,TO,1.7,RTE,RTE,418.36
BayesianNetwork/Ace/blockmap_20_02.net.cnf,222,28.91,925.41,36.099999999999994,929.9200000000001,509.68,962.24,3675.77,TO,61.17,MO,RTE,1379.8300000000002
BayesianNetwork/Ace/blockmap_20_03.net.cnf,169,335.99,951.3199999999999,362.69,961.76,614.51,1083.6299999999999,4181.05,TO,111.26,MO,RTE,582.51
BayesianNetwork/Ace/blockmap_22_01.net.cnf,273,30.29,931.06,38.85,935.62,553.32,944.6,TO,TO,3.16,RTE,RTE,668.9599999999999
BayesianNetwork/Ace/blockmap_22_02.net.cnf,257,75.93,954.05,106.31,961.6999999999999,622.57,1029.95,TO,TO,59.870000000000005,RTE,RTE,755.05
BayesianNetwork/Ace/blockmap_22_03.net.cnf,302,771.97,1032.24,1054.9199999999998,1067.86,992.48,1436.02,TO,TO,258.15999999999997,RTE,RTE,1072.02
BayesianNetwork/Ace/fs-01.net.cnf,4,0.01,899.26,2.32,898.9799999999999,0.32999999999999996,899.35,0.37,899.0,0.03,0.02,0.27,0.66
BayesianNetwork/Ace/fs-07.net.cnf,72,TO,TO,RTE,TO,RTE,RTE,TO,MO,TO,TO,MO,TO
BayesianNetwork/Ace/fs-10.net.cnf,140,TO,TO,RTE,TO,MO,MO,TO,MO,TO,TO,RTE,TO
BayesianNetwork/Ace/fs-13.net.cnf,230,TO,TO,RTE,TO,MO,RTE,TO,TO,TO,TO,RTE,TO
BayesianNetwork/Ace/fs-16.net.cnf,344,TO,TO,RTE,TO,TO,RTE,TO,TO,TO,MO,RTE,TO
BayesianNetwork/Ace/fs-19.net.cnf,480,TO,TO,RTE,TO,RTE,RTE,TO,TO,TO,RTE,RTE,TO
BayesianNetwork/Ace/fs-22.net.cnf,636,TO,TO,RTE,TO,RTE,RTE,TO,TO,TO,RTE,RTE,TO
BayesianNetwork/Ace/fs-25.net.cnf,818,TO,TO,RTE,TO,MO,RTE,TO,TO,TO,RTE,RTE,TO
BayesianNetwork/Ace/fs-28.net.cnf,1022,TO,TO,RTE,TO,TO,RTE,TO,TO,TO,RTE,RTE,TO
BayesianNetwork/Ace/fs-29.net.cnf,1094,TO,TO,RTE,TO,MO,RTE,TO,RTE,TO,RTE,RTE,TO
BayesianNetwork/Ace/mastermind_03_08_04.net.cnf,48,6.859999999999999,902.13,8.63,902.52,23.57,904.28,37.339999999999996,905.06,10.22,MO,1432.97,23.04
BayesianNetwork/Ace/mastermind_03_08_05.net.cnf,62,78.48,933.1400000000001,95.95,936.14,127.24000000000001,956.36,134.65,953.0,1934.6,TO,MO,119.48
BayesianNetwork/Ace/mastermind_04_08_04.net.cnf,60,131.42000000000002,913.1500000000001,126.11,914.54,57.54,917.77,50.39,922.63,59.120000000000005,TO,TO,53.16
BayesianNetwork/Ace/mastermind_05_08_03.net.cnf,48,10.06,901.77,15.39,902.2,28.81,902.5200000000001,27.66,903.5999999999999,8.56,MO,928.96,16.14
BayesianNetwork/Ace/mastermind_06_08_03.net.cnf,54,44.36,903.3,46.78,903.9,29.04,904.25,34.669999999999995,905.21,16.71,TO,3359.71,20.46
BayesianNetwork/Ace/mastermind_10_08_03.net.cnf,78,186.51000000000002,922.0699999999999,178.82,930.08,79.72999999999999,929.89,86.0,1026.04,2213.59,TO,TO,65.63
BayesianNetwork/DQMR/qmr-100/or-100-10-10.cnf,42,TO,TO,RTE,TO,MO,MO,TO,MO,TO,0.05,899.75,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-10.cnf,30,980.56,1149.85,1717.1799999999998,1220.81,MO,RTE,TO,RTE,7070.37,0.05,899.64,490.19
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-20.cnf,11,0.060000000000000005,899.61,2.42,899.45,1.56,899.84,1.7,899.61,0.27,0.05,899.65,0.77
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-30.cnf,7,0.03,899.62,2.33,899.64,1.4,899.88,1.57,899.65,0.06,0.06,899.73,0.67
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-40.cnf,4,0.01,793.7,2.29,794.15,1.46,899.87,1.71,899.3,0.03,0.05,899.5500000000001,0.65
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-50.cnf,4,0.01,899.47,2.33,899.46,1.46,899.52,1.56,899.3,0.03,0.05,899.73,0.65
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-60.cnf,4,0.01,681.4100000000001,2.31,681.1800000000001,1.3199999999999998,899.6700000000001,1.46,899.5,0.02,0.05,899.76,0.6
BayesianNetwork/DQMR/qmr-100/or-100-10-1.cnf,42,TO,TO,RTE,TO,RTE,MO,TO,TO,TO,0.04,899.78,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-10.cnf,25,132.85000000000002,944.5799999999999,257.27,955.89,RTE,1083.17,1164.45,1228.3600000000001,531.07,0.05,899.62,100.48
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-20.cnf,12,0.19999999999999998,884.8199999999999,2.5,884.8,3.7199999999999998,899.96,2.2,899.52,1.33,0.05,899.8,0.79
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-30.cnf,6,0.02,881.4300000000001,2.29,881.26,1.3499999999999999,899.7099999999999,1.5,899.64,0.06,0.05,899.64,0.54
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-40.cnf,5,0.01,795.69,2.29,795.5799999999999,1.41,899.82,1.64,899.56,0.03,0.06,899.73,0.38
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-50.cnf,4,0.01,740.54,2.29,740.3199999999999,2.92,899.62,1.42,899.47,0.02,0.05,899.6999999999999,0.66
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-60.cnf,4,0.01,735.6800000000001,2.32,735.4599999999999,1.3299999999999998,899.54,1.63,899.41,0.03,0.05,899.69,0.49
BayesianNetwork/DQMR/qmr-100/or-100-10-2.cnf,41,TO,TO,RTE,TO,MO,RTE,TO,MO,TO,0.04,899.6999999999999,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-10.cnf,30,2790.7,1830.82,RTE,2040.49,MO,MO,TO,MO,RTE,0.06,899.63,3576.2
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-20.cnf,16,1.01,899.98,3.95,900.07,2.71,900.36,8.040000000000001,900.3299999999999,9.89,0.06,899.7900000000001,2.03
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-30.cnf,14,0.41000000000000003,899.78,2.85,899.5600000000001,2.68,900.12,6.06,900.4399999999999,2.38,0.05,899.64,1.05
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-40.cnf,5,0.02,857.66,2.28,857.57,1.5499999999999998,899.58,1.53,899.72,0.04,0.07,899.81,0.6900000000000001
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-50.cnf,5,0.01,816.49,2.3,816.4499999999999,1.5299999999999998,899.7199999999999,1.6099999999999999,899.58,0.03,0.08,899.7700000000001,0.67
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-60.cnf,3,0.01,656.08,2.2800000000000002,656.06,1.49,899.61,1.44,899.48,0.04,0.06,899.59,0.76
BayesianNetwork/DQMR/qmr-100/or-100-10-3.cnf,43,TO,TO,RTE,TO,MO,MO,TO,MO,MO,0.05,899.63,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-10.cnf,27,2069.31,1050.4799999999998,5493.85,1087.5600000000002,MO,1412.49,TO,1593.16,2548.72,0.05,899.78,2475.92
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-20.cnf,19,26.45,901.37,45.35,901.7,16.79,904.0600000000001,84.81,903.1600000000001,42.94,0.05,899.68,25.64
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-30.cnf,11,0.1,884.1800000000001,2.35,883.9799999999999,1.65,899.79,1.67,899.65,0.52,0.07,899.67,0.75
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-40.cnf,5,0.01,776.2,2.32,776.3000000000001,1.39,899.73,1.6199999999999999,899.67,0.03,0.05,899.65,0.7000000000000001
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-50.cnf,4,0.01,699.55,2.33,699.48,1.5699999999999998,899.96,1.5,899.6999999999999,0.02,0.06,899.8,0.65
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-60.cnf,3,0.01,662.52,2.31,662.53,1.52,899.84,1.3399999999999999,899.53,0.02,0.05,899.75,0.39
BayesianNetwork/DQMR/qmr-100/or-100-10-4.cnf,46,TO,TO,RTE,TO,MO,MO,TO,MO,MO,0.05,899.6800000000001,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-4-UC-10.cnf,32,2164.01,1500.3600000000001,6115.12,1664.6899999999998,MO,RTE,TO,MO,RTE,0.04,899.64,2803.92
BayesianNetwork/DQMR/qmr-100/or-100-10-4-UC-20.cnf,18,1.3900000000000001,900.59,4.37,900.93,58.870000000000005,902.3299999999999,76.12,902.0999999999999,16.32,0.04,899.7700000000001,1.68
BayesianNetwork/DQMR/qmr-100/or-100-10-4-UC-30.cnf,11,0.08,899.62,2.5,899.57,8.55,899.7299999999999,4.11,899.73,0.38,0.05,899.6999999999999,0.8899999999999999
BayesianNetwork/DQMR/qmr-100/or-100-10-4-UC-40.cnf,6,0.03,879.6300000000001,2.4299999999999997,879.66,1.56,899.8100000000001,1.55,899.68,0.05,0.06,899.77,0.73
BayesianNetwork/DQMR/qmr-100/or-100-10-4-UC-50.cnf,4,0.01,860.3900000000001,2.25,860.13,1.67,899.3199999999999,1.64,899.23,0.03,0.06,899.74,0.6799999999999999
BayesianNetwork/DQMR/qmr-100/or-100-10-4-UC-60.cnf,3,0.02,829.74,2.28,829.87,1.2999999999999998,899.6700000000001,1.49,899.34,0.03,0.05,899.78,0.8400000000000001
BayesianNetwork/DQMR/qmr-100/or-100-10-5.cnf,42,TO,TO,RTE,TO,MO,MO,TO,MO,RTE,0.06,899.64,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-5-UC-10.cnf,29,1550.98,1169.69,4127.19,1242.47,RTE,MO,TO,MO,TO,0.05,900.12,1385.07
BayesianNetwork/DQMR/qmr-100/or-100-10-5-UC-20.cnf,18,4.07,900.5500000000001,9.91,900.8100000000001,14.129999999999999,902.68,29.71,902.1400000000001,23.759999999999998,0.05,899.67,4.36
BayesianNetwork/DQMR/qmr-100/or-100-10-5-UC-30.cnf,14,0.22,899.5500000000001,2.62,899.7299999999999,2.6,900.14,2.35,899.8399999999999,2.63,0.05,899.61,0.8600000000000001
BayesianNetwork/DQMR/qmr-100/or-100-10-5-UC-40.cnf,8,0.02,899.59,2.31,899.9499999999999,1.6199999999999999,899.75,1.3699999999999999,899.4599999999999,0.13,0.06,899.76,0.68
BayesianNetwork/DQMR/qmr-100/or-100-10-5-UC-50.cnf,6,0.03,899.6,2.3,899.5999999999999,1.53,899.67,1.75,899.6,0.04,0.06,899.61,0.6900000000000001
BayesianNetwork/DQMR/qmr-100/or-100-10-5-UC-60.cnf,4,0.02,839.13,2.33,839.0,1.29,899.22,1.71,899.0999999999999,0.03,0.05,899.77,0.61
BayesianNetwork/DQMR/qmr-100/or-100-10-6.cnf,41,TO,TO,RTE,TO,MO,MO,TO,MO,TO,0.04,899.6800000000001,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-6-UC-10.cnf,29,902.01,1127.47,3814.1000000000004,1185.46,MO,RTE,TO,MO,7057.51,0.05,899.71,1061.79
BayesianNetwork/DQMR/qmr-100/or-100-10-6-UC-20.cnf,16,1.6700000000000002,900.1899999999999,5.1,900.35,28.41,901.1400000000001,46.21,900.6,7.7700000000000005,0.05,899.69,2.7
BayesianNetwork/DQMR/qmr-100/or-100-10-6-UC-30.cnf,9,0.05,882.46,2.31,882.78,1.59,899.77,2.5799999999999996,899.74,0.47,0.06,899.8000000000001,0.68
BayesianNetwork/DQMR/qmr-100/or-100-10-6-UC-40.cnf,5,0.01,850.19,2.3000000000000003,850.26,1.53,899.73,1.3499999999999999,899.5699999999999,0.03,0.05,900.11,0.72
BayesianNetwork/DQMR/qmr-100/or-100-10-6-UC-50.cnf,4,0.02,791.3599999999999,2.36,791.4300000000001,1.4,899.74,1.53,899.1899999999999,0.03,0.07,899.71,0.62
BayesianNetwork/DQMR/qmr-100/or-100-10-6-UC-60.cnf,4,0.02,730.8499999999999,2.27,730.61,1.76,899.63,1.77,899.72,0.02,0.06,899.74,0.66
BayesianNetwork/DQMR/qmr-100/or-100-10-7.cnf,39,TO,TO,RTE,TO,MO,MO,TO,MO,TO,0.04,899.65,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-7-UC-10.cnf,25,361.37,981.0600000000001,596.8199999999999,997.01,RTE,1278.45,1027.78,1683.6399999999999,698.8,0.06,899.62,530.77
BayesianNetwork/DQMR/qmr-100/or-100-10-7-UC-20.cnf,16,6.180000000000001,900.5,11.36,900.5899999999999,14.08,902.4100000000001,13.99,900.87,11.48,0.06,899.81,5.01
