instance,treewidth,sharpsat_tw,nestHDB,gpusat
01A-1.cnf,229,111.91,365.368,TO
01B-1.cnf,570,TO,TO,TO
01B-2.cnf,1017,TO,TO,TO
01B-3.cnf,665,TO,TO,TO
01B-4.cnf,-,RTE,TO,TO
01B-5.cnf,-,RTE,TO,TO
02A-1.cnf,228,185.63,89.0824,TO
02A-2.cnf,228,84.58,TO,TO
02A-3.cnf,175,61.24,57.622,TO
02B-1.cnf,570,TO,TO,TO
02B-2.cnf,1018,TO,TO,TO
02B-3.cnf,702,TO,TO,TO
02B-4.cnf,926,TO,TO,TO
02B-5.cnf,-,RTE,TO,TO
03A-1.cnf,137,60.26,49.865,TO
03A-2.cnf,124,60.15,47.1239,TO
03B-1.cnf,535,TO,TO,TO
03B-2.cnf,922,TO,TO,TO
03B-3.cnf,580,TO,TO,TO
03B-4.cnf,745,TO,TO,TO
04A-1.cnf,202,TO,69.3072,TO
04A-2.cnf,202,64.5,64.2823,TO
04A-3.cnf,104,60.099999999999994,48.6514,TO
04B-1.cnf,607,TO,TO,TO
04B-2.cnf,719,TO,TO,TO
04B-3.cnf,829,TO,TO,TO
04B-4.cnf,1251,TO,TO,TO
05A-1.cnf,226,61.93,TO,TO
05A-2.cnf,112,60.17,50.2217,TO
05B-1.cnf,639,TO,TO,TO
05B-2.cnf,696,TO,TO,TO
05B-3.cnf,718,TO,TO,TO
06A-1.cnf,229,798.6999999999999,827.737,TO
06A-2.cnf,196,74.21,64.1602,TO
06A-3.cnf,196,63.58,66.3772,TO
06A-4.cnf,194,64.52,57.6343,TO
06B-1.cnf,609,TO,TO,TO
06B-2.cnf,718,TO,TO,TO
06B-3.cnf,883,TO,TO,TO
06B-4.cnf,987,TO,TO,TO
07A-1.cnf,263,TO,TO,TO
07A-2.cnf,266,556.55,897.531,TO
07A-3.cnf,264,357.28000000000003,TO,TO
07A-4.cnf,231,TO,TO,TO
07A-5.cnf,219,75.61,64.3772,TO
07B-1.cnf,683,TO,TO,TO
07B-2.cnf,778,TO,TO,TO
07B-3.cnf,1034,TO,TO,TO
07B-4.cnf,1730,TO,TO,TO
07B-5.cnf,2849,TO,TO,TO
07B-6.cnf,-1,RTE,TO,TO
08A-1.cnf,267,TO,TO,TO
08A-2.cnf,264,TO,TO,TO
08A-3.cnf,263,83.7,93.4454,TO
08A-4.cnf,150,60.51,55.0132,TO
08B-1.cnf,686,TO,TO,TO
08B-2.cnf,785,TO,TO,TO
08B-3.cnf,988,TO,TO,TO
08B-4.cnf,1755,TO,TO,TO
09A-1.cnf,304,TO,TO,TO
09A-2.cnf,301,TO,TO,TO
09A-3.cnf,161,92.63000000000001,56.5467,TO
09B-1.cnf,754,TO,TO,TO
09B-2.cnf,984,TO,TO,TO
09B-3.cnf,1404,TO,TO,TO
09B-4.cnf,2500,TO,TO,TO
09B-5.cnf,-,RTE,TO,TO
09B-6.cnf,-,RTE,TO,TO
10A-1.cnf,302,TO,TO,TO
10A-2.cnf,300,TO,TO,TO
10A-3.cnf,294,TO,TO,TO
10A-4.cnf,235,TO,TO,TO
10B-10.cnf,-,RTE,TO,TO
10B-11.cnf,-,RTE,TO,TO
10B-1.cnf,793,TO,TO,TO
10B-2.cnf,1046,TO,TO,TO
10B-3.cnf,1994,TO,TO,TO
10B-4.cnf,-1,RTE,TO,TO
10B-5.cnf,-1,RTE,TO,TO
10B-6.cnf,966,TO,TO,TO
10B-7.cnf,979,TO,TO,TO
10B-8.cnf,-,RTE,TO,TO
10B-9.cnf,-,RTE,TO,TO
11A-1.cnf,263,TO,TO,TO
11A-2.cnf,263,TO,TO,TO
11A-3.cnf,261,TO,TO,TO
11A-4.cnf,162,TO,TO,TO
11B-1.cnf,807,TO,TO,TO
11B-2.cnf,1048,TO,TO,TO
11B-3.cnf,1438,TO,TO,TO
11B-4.cnf,-,RTE,TO,TO
11B-5.cnf,-,RTE,TO,TO
12A-1.cnf,263,TO,TO,TO
12A-2.cnf,263,TO,TO,TO
12A-3.cnf,261,TO,TO,TO
12A-4.cnf,161,TO,TO,TO
12B-1.cnf,759,TO,TO,TO
12B-2.cnf,922,TO,TO,TO
12B-3.cnf,1248,TO,TO,TO
12B-4.cnf,2436,TO,TO,TO
12B-5.cnf,-1,RTE,TO,TO
12B-6.cnf,-,RTE,TO,TO
13A-1.cnf,389,TO,TO,TO
13A-2.cnf,324,TO,TO,TO
13A-3.cnf,292,TO,TO,TO
13A-4.cnf,139,60.92,342.689,TO
13B-1.cnf,857,TO,TO,TO
13B-2.cnf,-,RTE,TO,TO
13B-3.cnf,2208,TO,TO,TO
13B-4.cnf,-1,RTE,TO,TO
13B-5.cnf,-,RTE,TO,TO
14A-1.cnf,482,TO,TO,TO
14A-2.cnf,518,TO,TO,TO
14A-3.cnf,324,TO,TO,TO
15A-1.cnf,454,TO,TO,TO
15A-2.cnf,737,TO,TO,TO
15A-3.cnf,705,TO,TO,TO
15A-4.cnf,297,TO,TO,TO
15B-1.cnf,-,RTE,TO,TO
15B-2.cnf,-,RTE,TO,TO
15B-3.cnf,-,RTE,TO,TO
15B-4.cnf,-,RTE,TO,TO
15B-5.cnf,-,RTE,TO,TO
17A-1.cnf,446,TO,TO,TO
17A-2.cnf,584,TO,TO,TO
17A-3.cnf,696,TO,TO,TO
17A-4.cnf,904,TO,TO,TO
17A-5.cnf,411,TO,TO,TO
17A-6.cnf,378,TO,TO,TO
17B-1.cnf,675,TO,TO,TO
17B-2.cnf,790,TO,TO,TO
17B-3.cnf,759,TO,TO,TO
17B-4.cnf,1214,TO,TO,TO
17B-5.cnf,2845,TO,TO,TO
18A-1.cnf,524,TO,TO,TO
18A-2.cnf,912,TO,TO,TO
18A-3.cnf,-,RTE,TO,TO
18A-4.cnf,-,RTE,TO,TO
4step.cnf,5,60.010000000000005,0.588368,0.358543
50-10-10-q.cnf,12,60.1,1.16184,0.78977
50-10-1-q.cnf,13,60.24,1.50824,1.02553
50-10-2-q.cnf,12,60.24,1.26768,1.14802
50-10-3-q.cnf,13,60.32,0.914141,0.981925
50-10-4-q.cnf,9,60.05,1.53631,1.02518
50-10-5-q.cnf,10,60.04,0.983513,0.839827
