instance,sharpsat_tw_5,sharpsat_tw_60,sharpsat_tw_900,sharpsat_tw_1800
BayesianNetwork/Ace/blockmap_05_01.net.cnf,5.06,60.05,899.63,1798.97
BayesianNetwork/Ace/blockmap_05_02.net.cnf,5.07,60.059999999999995,899.74,1799.23
BayesianNetwork/Ace/blockmap_05_03.net.cnf,5.08,60.08,899.7199999999999,1799.3
BayesianNetwork/Ace/blockmap_10_01.net.cnf,5.59,60.67,900.34,1799.76
BayesianNetwork/Ace/blockmap_10_02.net.cnf,5.6899999999999995,60.76,900.4699999999999,1800.19
BayesianNetwork/Ace/blockmap_10_03.net.cnf,6.13,61.4,900.91,1800.55
BayesianNetwork/Ace/blockmap_15_01.net.cnf,8.549999999999999,63.540000000000006,903.33,1802.99
BayesianNetwork/Ace/blockmap_15_02.net.cnf,RTE,63.87,903.5799999999999,1803.1499999999999
BayesianNetwork/Ace/blockmap_15_03.net.cnf,RTE,68.95,908.0200000000001,1808.23
BayesianNetwork/Ace/blockmap_20_01.net.cnf,18.97,74.26,914.4499999999999,1813.44
BayesianNetwork/Ace/blockmap_20_02.net.cnf,29.310000000000002,85.28999999999999,925.41,1826.11
BayesianNetwork/Ace/blockmap_20_03.net.cnf,54.290000000000006,111.42,951.3199999999999,1847.91
BayesianNetwork/Ace/blockmap_22_01.net.cnf,37.31,91.17,931.06,1831.04
BayesianNetwork/Ace/blockmap_22_02.net.cnf,78.0,111.53,954.05,1852.5700000000002
BayesianNetwork/Ace/blockmap_22_03.net.cnf,792.09,200.07999999999998,1032.24,1936.47
BayesianNetwork/Ace/fs-01.net.cnf,5.029999999999999,60.010000000000005,899.26,1798.0800000000002
BayesianNetwork/Ace/fs-07.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-10.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-13.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-16.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-19.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-22.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-25.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-28.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/fs-29.net.cnf,TO,TO,TO,TO
BayesianNetwork/Ace/mastermind_03_08_04.net.cnf,7.21,62.38,902.13,1801.5300000000002
BayesianNetwork/Ace/mastermind_03_08_05.net.cnf,49.019999999999996,93.41,933.1400000000001,1832.75
BayesianNetwork/Ace/mastermind_04_08_04.net.cnf,22.03,73.21000000000001,913.1500000000001,1812.68
BayesianNetwork/Ace/mastermind_05_08_03.net.cnf,6.95,62.339999999999996,901.77,1801.21
BayesianNetwork/Ace/mastermind_06_08_03.net.cnf,8.52,63.7,903.3,1803.05
BayesianNetwork/Ace/mastermind_10_08_03.net.cnf,36.489999999999995,84.16,922.0699999999999,1821.47
BayesianNetwork/DQMR/qmr-100/or-100-10-10.cnf,TO,TO,TO,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-10.cnf,254.12,312.19,1149.85,2045.96
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-20.cnf,5.0600000000000005,60.02,899.61,1799.2
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-30.cnf,5.04,60.01,899.62,1799.03
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-40.cnf,4.49,52.989999999999995,793.7,1587.1599999999999
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-50.cnf,5.04,60.02,899.47,1798.52
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-60.cnf,3.8499999999999996,45.49,681.4100000000001,1362.3
BayesianNetwork/DQMR/qmr-100/or-100-10-1.cnf,TO,TO,TO,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-10.cnf,49.79,104.51,944.5799999999999,1843.92
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-20.cnf,5.0200000000000005,59.07,884.8199999999999,1769.41
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-30.cnf,4.94,58.81,881.4300000000001,1762.5
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-40.cnf,4.5600000000000005,53.19,795.69,1590.99
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-50.cnf,4.21,49.46,740.54,1479.94
