instance,sharpsat_tw_const1e3,sharpsat_tw_const1e7,sharpsat_tw_form1,sharpsat_tw_form2,sharpsat_tw_form2_noact,sharpsat_tw_form2_nofreq,sharpsat_tw_form2_noact_nofreq
BayesianNetwork/Ace/blockmap_05_01.net.cnf,899.64,899.62,899.6999999999999,899.63,899.6500000000001,899.7099999999999,899.6899999999999
BayesianNetwork/Ace/blockmap_05_02.net.cnf,899.6899999999999,899.66,899.74,899.74,899.68,899.71,899.7
BayesianNetwork/Ace/blockmap_05_03.net.cnf,899.5799999999999,899.73,899.55,899.7199999999999,899.72,899.68,899.74
BayesianNetwork/Ace/blockmap_10_01.net.cnf,900.4,900.3,900.45,900.34,900.25,900.3100000000001,900.87
BayesianNetwork/Ace/blockmap_10_02.net.cnf,900.92,900.4399999999999,900.52,900.4699999999999,900.4699999999999,900.5,900.39
BayesianNetwork/Ace/blockmap_10_03.net.cnf,903.4100000000001,901.0,901.2,900.91,900.8299999999999,901.23,901.0600000000001
BayesianNetwork/Ace/blockmap_15_01.net.cnf,903.17,903.21,903.04,903.33,903.8100000000001,903.0,902.54
BayesianNetwork/Ace/blockmap_15_02.net.cnf,903.47,909.37,903.77,903.5799999999999,903.85,904.68,904.48
BayesianNetwork/Ace/blockmap_15_03.net.cnf,929.2,908.1700000000001,908.5300000000001,908.0200000000001,906.3399999999999,910.5,911.5400000000001
BayesianNetwork/Ace/blockmap_20_01.net.cnf,913.96,913.9699999999999,914.2900000000001,914.4499999999999,914.92,911.74,910.54
BayesianNetwork/Ace/blockmap_20_02.net.cnf,929.6,925.8299999999999,926.08,925.41,923.01,920.49,925.4000000000001
BayesianNetwork/Ace/blockmap_20_03.net.cnf,1149.31,952.0699999999999,948.55,951.3199999999999,954.4399999999999,964.51,1031.4199999999998
BayesianNetwork/Ace/blockmap_22_01.net.cnf,932.9599999999999,932.25,932.02,931.06,932.03,927.4799999999999,923.5400000000001
BayesianNetwork/Ace/blockmap_22_02.net.cnf,974.17,955.98,1038.5800000000002,954.05,948.2900000000001,950.54,946.89
BayesianNetwork/Ace/blockmap_22_03.net.cnf,1598.26,1035.14,1038.97,1032.24,1029.76,1063.37,1220.69
BayesianNetwork/Ace/fs-01.net.cnf,899.1,899.36,899.99,899.26,899.25,898.9,899.26
BayesianNetwork/Ace/fs-07.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-10.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-13.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-16.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-19.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-22.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-25.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-28.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/fs-29.net.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/Ace/mastermind_03_08_04.net.cnf,902.3199999999999,902.04,902.35,902.13,902.51,902.16,901.57
BayesianNetwork/Ace/mastermind_03_08_05.net.cnf,934.52,934.62,933.4300000000001,933.1400000000001,931.14,931.45,928.09
BayesianNetwork/Ace/mastermind_04_08_04.net.cnf,914.11,912.9,913.13,913.1500000000001,913.3800000000001,910.1300000000001,909.38
BayesianNetwork/Ace/mastermind_05_08_03.net.cnf,901.6800000000001,901.9499999999999,901.88,901.77,901.6500000000001,901.82,901.8
BayesianNetwork/Ace/mastermind_06_08_03.net.cnf,903.37,903.45,903.61,903.3,903.15,903.8,903.3
BayesianNetwork/Ace/mastermind_10_08_03.net.cnf,923.03,922.3,922.41,922.0699999999999,924.79,926.92,927.23
BayesianNetwork/DQMR/qmr-100/or-100-10-10.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-10.cnf,1148.33,1151.27,1159.81,1149.85,1140.57,2157.9,2108.95
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-20.cnf,899.55,899.59,899.62,899.61,899.57,899.61,899.65
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-30.cnf,899.6400000000001,899.5899999999999,899.52,899.62,899.58,899.62,899.59
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-40.cnf,793.59,793.71,793.6899999999999,793.7,793.63,793.7,793.7
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-50.cnf,899.4,899.25,899.4,899.47,899.4399999999999,899.52,899.4399999999999
BayesianNetwork/DQMR/qmr-100/or-100-10-10-UC-60.cnf,681.1199999999999,681.46,681.08,681.4100000000001,681.0500000000001,681.3199999999999,681.27
BayesianNetwork/DQMR/qmr-100/or-100-10-1.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-10.cnf,944.4599999999999,945.55,945.86,944.5799999999999,942.84,1030.81,1026.24
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-20.cnf,884.61,884.72,884.61,884.8199999999999,884.76,884.66,884.76
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-30.cnf,881.39,881.42,881.38,881.4300000000001,881.44,881.75,881.4200000000001
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-40.cnf,795.53,795.5500000000001,795.67,795.69,795.7,795.67,795.46
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-50.cnf,740.5699999999999,740.49,740.13,740.54,740.41,740.51,740.52
BayesianNetwork/DQMR/qmr-100/or-100-10-1-UC-60.cnf,735.53,735.6700000000001,735.72,735.6800000000001,735.49,735.61,735.6899999999999
BayesianNetwork/DQMR/qmr-100/or-100-10-2.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-10.cnf,1841.82,1848.56,1817.2,1830.82,1777.49,4310.89,4252.71
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-20.cnf,899.7399999999999,899.92,899.82,899.98,899.9000000000001,900.1,900.05
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-30.cnf,899.65,899.68,899.5899999999999,899.78,899.66,899.7,899.81
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-40.cnf,857.6899999999999,857.6999999999999,857.5,857.66,857.72,857.75,857.79
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-50.cnf,816.26,816.49,816.37,816.49,816.75,816.52,816.46
BayesianNetwork/DQMR/qmr-100/or-100-10-2-UC-60.cnf,656.07,656.15,656.15,656.08,656.22,656.23,656.25
BayesianNetwork/DQMR/qmr-100/or-100-10-3.cnf,TO,TO,TO,TO,TO,TO,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-10.cnf,1051.46,1050.54,1050.95,1050.4799999999998,1047.1599999999999,1083.21,1079.54
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-20.cnf,901.23,901.2099999999999,901.38,901.37,901.25,902.41,902.23
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-30.cnf,884.0699999999999,884.08,884.01,884.1800000000001,883.9,884.15,884.12
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-40.cnf,776.25,776.32,776.25,776.2,776.38,776.35,776.33
BayesianNetwork/DQMR/qmr-100/or-100-10-3-UC-50.cnf,699.43,699.52,699.55,699.55,699.58,699.48,699.5899999999999
